topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49
0.0147177995239,0.0174060319338,0.0237569358401,0.0322277709389,0.0194201042418,0.0146277985163,0.621592643318,0.0163569600534,0.014139994942,0.0129654044932,0.0118524577593,0.0321110468479,0.0451719850808,0.014019353316,0.0152287143681,0.285836677827,0.0316516606429,0.0633123019993,0.0133874194835,0.0165625638248,0.0202948510701,0.0865764039958,0.0118254841909,0.0543432939541,0.0246678570586,0.0385973222967,0.0873385467006,0.289514734603,0.0606956873452,0.0705922658559,0.0131301015184,0.0146272879323,0.00987394121806,0.0179454550448,0.0392474739858,0.0144150924601,0.0116484659386,0.0352663190464,0.0225029445047,0.0361881823788,0.0730046758458,0.0227226534878,0.0122710057007,0.0362093332102,0.0403916768666,0.0166035051236,0.0162242409247,0.0121530250035,0.0185978549928,0.0466778745845
0.0222172933634,0.0268807438977,0.00938834574524,0.00482286688338,0.0441681669561,0.0059535292812,0.0467222151006,0.0440572525577,0.00613435940866,0.0052769331767,0.00468389408987,0.0716028798787,0.348357317404,0.019761867945,0.00595427486138,0.0250575620921,0.0477798483936,0.00947796208117,0.0363783637405,0.00902451085913,0.0110581372428,0.0129606387429,0.00462364593226,0.650619443579,0.0388169388628,0.0863070833129,0.118977030683,0.0179724366132,0.00857928384511,0.00714906989142,0.0201376243507,0.00578046080301,0.00428361569152,0.00977801236797,0.00563185455983,0.0217603411112,0.00460327991664,0.00498486423839,0.0083884341287,0.00849963164524,0.0252212811516,0.0123809837244,0.018820029903,0.00850459940722,0.65071727702,0.0607853858358,0.00884016749791,0.00527235148102,0.0880928219954,0.0646837854613
0.0296836455002,0.0198345250255,0.00457976644645,0.00247125142756,0.0352944196314,0.0166287947149,0.248191956742,0.0031532289064,0.0159867495025,0.00270391635544,0.00228486908914,0.00224775224775,0.00626342161775,0.0254790052996,0.0173681589361,0.0122234294745,0.00773429130804,0.390996459282,0.0152815597774,0.0183014555884,0.0224255930098,0.0601760978072,0.00221348528775,0.0414863541601,0.00368541188299,0.0158557986305,0.0954479056002,0.0524242066135,0.0250251069776,0.0040267401435,0.0758660114205,0.0305163905207,0.0111635276747,0.00704470342668,0.0027472974733,0.348456968614,0.079442369614,0.0145404631769,0.025758905421,0.0394636927511,0.00342952659084,0.00892004992291,0.00255910049155,0.0283669238601,0.0446323702138,0.00405717560319,0.0063690201977,0.0245108710288,0.0210268285296,0.00431737781519
0.0110498923187,0.012772070626,0.0174321903787,0.077896337015,0.0155295446378,0.138832491127,0.012977960701,0.0850070472163,0.0106160857295,0.00958110417263,0.0615971692222,0.199372056515,0.0323397075366,0.0112107623318,0.0339597698718,0.518195800643,0.0237635688164,0.0139099645928,0.00977309055529,0.013244474439,0.038949714175,0.0722804852971,0.00865538931456,0.0154435123598,0.0950904199671,0.0101403363335,0.0142164023372,0.240225208495,0.0818023535062,0.0123721376264,0.00970281108552,0.0542563340997,0.0624180098054,0.0344407723082,0.0316593327876,0.0308981802068,0.00854732602002,0.0284308074986,0.016290039491,0.0124741557547,0.0361397171841,0.0181704720652,0.026967327869,0.0124814464984,0.077519379845,0.0355889561439,0.0129739300324,0.0429747563092,0.0139629769176,0.0870839960165
0.0114225673824,0.0396093973442,0.0180748115753,0.00907094641647,0.0159248421377,0.0111975193188,0.0134437309902,0.0124447434173,0.0510750861525,0.00992496356349,0.080833590887,0.0795204795205,0.179670722978,0.0114961271912,0.197387137588,0.0482418016594,0.0245650326918,0.0340920586748,0.0101403218368,0.0135816065156,0.016642150602,0.019505355841,0.027014815791,0.0159643691958,0.0578253012867,0.0745345448804,0.0147404765518,0.0348961131046,0.0166579338049,0.0127894075006,0.0100510384557,0.0111287699312,0.0216644459649,0.0351713341451,0.0108426673613,0.0316282004101,0.00886241510266,0.00967884266434,0.0169212972197,0.0127916797193,0.012588379957,0.743866089127,0.0276182139324,0.0127991560457,0.0331219168428,0.0128860741546,0.0133041755241,0.0266649909782,0.0144339003584,0.0137125074489
0.012626594511,0.0147640449438,0.0201509723644,0.121773430073,0.0172019571373,0.012450890564,0.125300257363,0.0138742071882,0.0121308883322,0.031402950131,0.0860126274891,0.00989010989011,0.0378558449425,0.0293204553294,0.0374695337236,0.155373370209,0.169568343075,0.141239640481,0.0113267613615,0.0146708024555,0.0179767911577,0.0497477024312,0.0100180997818,0.0176471374352,0.228952783877,0.0117523898019,0.0474749582638,0.113098376452,0.195586713958,0.0141375101709,0.0318018557318,0.0124070745854,0.00847098452342,0.0158957410653,0.0349212034384,0.0123668981247,0.00988039521581,0.0108007550903,0.0189607452661,0.0514319037269,0.0656627610017,0.102313735013,0.0104448354904,0.0514619640244,0.0844762472669,0.0142443662394,0.0339318170077,0.0104262405907,0.015955345321,0.04165699559
0.052044149318,0.0645634028892,0.0881205220061,0.00875667522652,0.0155295446378,0.0748210311015,0.012977960701,0.0120022903453,0.1090782549,0.00958110417263,0.0615971692222,0.0085557299843,0.319178852643,0.0582959641256,0.0339597698718,0.235194304905,0.0237635688164,0.0139099645928,0.00977309055529,0.013244474439,0.0162290475729,0.0190211803414,0.00865538931456,0.0154435123598,0.0950904199671,0.0101403363335,0.0718645659432,0.102504473782,0.0160602785783,0.0123721376264,0.0480078218058,0.0324947191523,0.00741319971397,0.0143503217951,0.0104571735571,0.0108226246179,0.00854732602002,0.0284308074986,0.016290039491,0.0124741557547,0.0121522440824,0.170802437413,0.026967327869,0.0124814464984,0.0322997416021,0.0355889561439,0.0129739300324,0.296853178914,0.0398637661617,0.0132651203234
0.00359639104614,0.00335546475996,0.0720549920908,0.00247125142756,0.0214590071359,0.00305060622467,0.0036625549172,0.0031532289064,0.00345520069893,0.0147389950355,0.00228486908914,0.0132867132867,0.0518969219757,0.00550346514472,0.00285049936738,0.0122234294745,0.00773429130804,0.00682852807284,0.00242846492586,0.00650183290642,0.00796698699034,0.00933767034939,0.0134868173347,0.00502637563965,0.028294452521,0.00251971993741,0.0220775155562,0.00860397284115,0.00410717404593,0.0186311857386,0.00273826368184,0.0028197896785,0.00241276243293,0.0198295355714,0.01623958062,0.00352242258556,0.00224554436723,0.0266945144584,0.00366488491763,0.00612367646137,0.00342952659084,0.00892004992291,0.287321753228,0.0839660946259,0.0734085036411,0.00405717560319,0.0063690201977,0.821535252296,0.0210268285296,0.00431737781519
0.0290278206676,0.0192821542904,0.0263175951922,0.00228690240553,0.00739171621867,0.0295242809905,0.0194180806214,0.00289368939492,0.00324517474133,0.0261689580278,0.0903622466837,0.566468168703,0.229842079796,0.0642583360473,0.0454302271528,0.129266370746,0.0348452620659,0.00662083230898,0.00221304992835,0.0179059375097,0.00772466398442,0.0423779146376,0.00202454676182,0.00472084509339,0.0516661670935,0.00229621023865,0.00342750020985,0.00786955551536,0.0243239472145,0.00378197289889,0.134354591781,0.00258769525804,0.00226610156295,0.00683043249688,0.0025211698228,0.0284307934864,0.00206071557574,0.01413306481,0.0250183237282,0.0277915827651,0.00317369269793,0.0723164485991,0.00236819815452,0.0278078260535,0.326606325697,0.00381055832521,0.00617530077518,0.00278915869022,0.052886509357,0.00405494402654
0.0891401794247,0.00466974564004,0.00637358635111,0.00334851149766,0.00872703244677,0.00413352923309,0.00496271124592,0.171597556389,0.04504764182,0.0686384271611,0.00317981508684,0.0388862671071,0.108448867204,0.0278687171587,0.145087936983,0.0818294861509,0.0099715064204,0.00781688807793,0.00345355838027,0.00744290710806,0.0559553664784,0.0106892031857,0.00311258538965,0.0261642159475,0.0587915458271,0.0467824105692,0.00519782459518,0.106729036196,0.00577547544539,0.00519151187808,0.187950360971,0.0338297875539,0.00311067622522,0.0632822779528,0.0038233691353,0.0459240561691,0.134109358921,0.0558493245876,0.0531392253087,0.0430090523565,0.185951052261,0.0102111364489,0.0526633512921,0.00701411349238,0.0181512658328,0.00523075107525,0.0197713142334,0.00382867642293,0.00585904899459,0.0393810006811
