0,79.0
1,2.0
2,
3,5.0
4,9.0
5,
6,
7,9.0
8,7.0
9,79.0
10,
11,76.0
12,21.0
13,62.0
14,16.0
15,
16,29.0
17,
18,21.0
19,8.0
20,15.0
21,79.0
22,44.0
23,
24,5.0
25,
26,
27,58.0
28,11.0
29,3.0
30,
31,8.0
32,2.0
33,9.0
34,8.0
35,56.0
36,13.0
37,2.0
38,3.0
39,97.0
40,4.0
41,71.0
42,
43,
44,9.0
45,37.0
46,58.0
47,3.0
48,2.0
49,97.0
50,36.0
51,2.0
52,1.0
53,64.0
54,
55,8.0
56,11.0
57,1.0
58,3.0
59,2.0
60,91.0
61,
62,2.0
63,9.0
64,5.0
65,19.0
66,63.0
67,2.0
68,2.0
69,2.0
70,16.0
71,
72,5.0
73,8.0
74,
75,9.0
76,20.0
77,493.0
78,3.0
79,
80,8.0
81,26.0
82,21.0
83,1.0
84,3.0
85,47.0
86,2.0
87,2.0
88,3.0
89,19.0
90,8.0
91,
92,38.0
93,31.0
94,39.0
95,1.0
96,2.0
97,11.0
98,10.0
99,76.0
100,
101,
102,56.0
103,4.0
104,3.0
105,
106,1.0
107,155.0
108,78.0
109,
110,5.0
111,1.0
112,40.0
113,10.0
114,
115,36.0
116,111.0
117,3.0
118,
119,15.0
120,2.0
121,7.0
122,
123,258.0
124,6.0
125,79.0
126,
127,
128,5.0
129,
130,1.0
131,6.0
132,5.0
133,3.0
134,14.0
135,1.0
136,44.0
137,20.0
138,
139,9.0
140,10.0
141,20.0
142,
143,7.0
144,
145,43.0
146,6.0
147,13.0
148,3.0
149,1.0
150,1.0
151,24.0
152,
153,2.0
154,4.0
155,58.0
156,31.0
157,17.0
158,
159,8.0
160,1.0
161,
162,3.0
163,2.0
164,21.0
165,
166,
167,25.0
168,7.0
169,
170,56.0
171,
172,2.0
173,1.0
174,31.0
175,
176,90.0
177,3.0
178,7.0
179,2.0
180,11.0
181,
182,13.0
183,
184,195.0
185,43.0
186,
187,11.0
188,16.0
189,
190,10.0
191,15.0
192,
193,12.0
194,1.0
195,36.0
196,
197,5.0
198,
199,2.0
200,10.0
201,2.0
202,7.0
203,4.0
204,
205,36.0
206,
207,44.0
208,
209,1.0
210,17.0
211,1.0
212,13.0
213,1.0
214,32.0
215,
216,258.0
217,
218,2.0
219,1.0
220,
221,79.0
222,19.0
223,1.0
224,4.0
225,1.0
226,6.0
227,2.0
228,4.0
229,12.0
230,
231,111.0
232,36.0
233,3.0
234,
235,10.0
236,
237,90.0
238,6.0
239,537.0
240,1.0
241,12.0
242,
243,1.0
244,16.0
245,17.0
246,2.0
247,56.0
248,8.0
249,78.0
250,57.0
251,9.0
252,31.0
253,7.0
254,45.0
255,4.0
256,31.0
257,4.0
258,3.0
259,8.0
260,2.0
261,5.0
262,17.0
263,
264,44.0
265,14.0
266,1.0
267,1.0
268,6.0
269,
270,7.0
271,32.0
272,
273,537.0
274,3.0
275,7.0
276,118.0
277,4.0
278,9.0
279,
280,31.0
281,19.0
282,2.0
283,
284,90.0
285,2.0
286,
287,3.0
288,
289,3.0
290,64.0
291,9.0
292,
293,4.0
294,34.0
295,258.0
296,17.0
297,24.0
298,43.0
299,76.0
300,7.0
301,1.0
302,3.0
303,5.0
304,16.0
305,
306,15.0
307,8.0
308,10.0
309,16.0
310,41.0
311,7.0
312,6.0
313,23.0
314,28.0
315,9.0
316,4.0
317,6.0
318,5.0
319,19.0
320,8.0
321,5.0
322,8.0
323,22.0
324,7.0
325,5.0
326,90.0
327,32.0
328,11.0
329,36.0
